alliance_name,constituency_id,constituency_name,Candidate,Party,State,Total Independent Candidates,Total Votes (Cr),Sum of total_votes,Vote % of India,Sum of vote_share
INDIA,60,Domariyaganj,BHISHMA SHANKAR ALIAS KUSHAL TIWARI,Samajwadi Party,Uttar Pradesh,,0.04 Cr,420575,1,41.27
INDIA,12,Nabarangpur,BHUJABAL MAJHI,Indian National Congress,Odisha,,0.03 Cr,303392,1,24.42
INDIA,6,RAJNANDGAON,BHUPESH BAGHEL,Indian National Congress,Chhattisgarh,,0.07 Cr,667646,1,46.18
INDIA,26,Mumbai North,BHUSHAN PATIL,Indian National Congress,Maharashtra,,0.03 Cr,322538,1,31.15
INDIA,15,Aligarh,BIJENDRA SINGH,Samajwadi Party,Uttar Pradesh,,0.05 Cr,486187,1,42.9
INDIA,12,Purnia,BIMA BHARTI,Rashtriya Janata Dal,Bihar,,0.00 Cr,27120,1,2.27
INDIA,4,Keonjhar,BINOD BIHARI NAIK,Indian National Congress,Odisha,,0.01 Cr,105278,1,8.38
INDIA,34,Medinipur,BIPLAB BHATTA,Communist Party of India,West Bengal,,0.01 Cr,57785,1,3.9
INDIA,6,Balurghat,BIPLAB MITRA,All India Trinamool Congress,West Bengal,,0.06 Cr,564610,1,45.63
INDIA,76,Chandauli,BIRENDRA SINGH,Samajwadi Party,Uttar Pradesh,,0.05 Cr,474476,1,42.5
INDIA,11,KANKER,BIRESH THAKUR,Indian National Congress,Chhattisgarh,,0.06 Cr,595740,1,47.08
INDIA,14,Bangaon,BISWAJIT DAS S/O LATE BIJAY KRISHNA DAS,All India Trinamool Congress,West Bengal,,0.06 Cr,645812,1,43.25
INDIA,3,Vizianagaram,BOBBILI SRINU,Indian National Congress,Andhra Pradesh,,0.00 Cr,10623,1,0.82
INDIA,2,Arunachal East,BOSIRAM SIRAM,Indian National Congress,Arunachal Pradesh,,0.01 Cr,115160,1,35.6
INDIA,4,JHUNJHUNU,BRIJENDRA SINGH OLA,Indian National Congress,Rajasthan,,0.06 Cr,553168,1,49.44
INDIA,23,BHILWARA,C P JOSHI,Indian National Congress,Rajasthan,,0.05 Cr,453034,1,34.73
INDIA,2,South Goa,CAPTAIN  VIRIATO FERNANDES,Indian National Congress,Goa,,0.02 Cr,217836,1,48.35
INDIA,4,UDHAMPUR,CH LAL SINGH,Indian National Congress,Jammu and Kashmir,,0.04 Cr,446703,1,40.11
INDIA,22,Bharuch,CHAITARBHAI DAMJIBHAI VASAVA,Aam Aadmi Party,Gujarat,,0.05 Cr,522461,1,43.58
INDIA,11,Mahbubnagar,CHALLA VAMSHI CHAND REDDY,Indian National Congress,Telangana,,0.05 Cr,506247,1,41.29
INDIA,13,Guntur,CHALLAPALLI RATAN RAJU,Viduthalai Chiruthaigal Katchi,Andhra Pradesh,,0.00 Cr,378,1,0.03
INDIA,14,Bhongir,CHAMALA KIRAN KUMAR REDDY,Indian National Congress,Telangana,,0.06 Cr,629143,1,44.89
INDIA,3,Patan,CHANDANJI TALAJI THAKOR,Indian National Congress,Gujarat,,0.06 Cr,560071,1,46.94
INDIA,5,SAGAR,CHANDRA BHUSAN SINGH BUNDELA 'GUDDU RAJA',Indian National Congress,Madhya Pradesh,,0.03 Cr,316757,1,27.53
INDIA,44,Sangli,CHANDRAHAR SUBHASH PATIL,Shiv Sena (Uddhav Balasaheb Thackrey),Maharashtra,,0.01 Cr,60860,1,5.21
INDIA,8,Supaul,CHANDRAHAS CHAUPAL,Rashtriya Janata Dal,Bihar,,0.04 Cr,425235,1,34.54
INDIA,19,Aurangabad,CHANDRAKANT KHAIRE,Shiv Sena (Uddhav Balasaheb Thackrey),Maharashtra,,0.03 Cr,293450,1,22.53
INDIA,14,MANDLA,CHARAN SINGH DHURWEY,Bharat Adivasi Party,Madhya Pradesh,,0.00 Cr,4287,1,0.28
INDIA,4,Jalandhar,CHARANJIT SINGH CHANNI,Indian National Congress,Punjab,,0.04 Cr,390053,1,39.43
INDIA,5,Sabarkantha,CHAUDHARI TUSHAR AMARSINH,Indian National Congress,Gujarat,,0.05 Cr,521636,1,41.09
INDIA,23,Bardoli,CHAUDHARY SIDDHARTH AMARSINH,Indian National Congress,Gujarat,,0.05 Cr,533697,1,39.85
INDIA,16,Nanded,CHAVAN VASANTRAO BALWANTRAO,Indian National Congress,Maharashtra,,0.05 Cr,528894,1,46.88
INDIA,47,Kolhapur,CHHATRAPATI SHAHU SHAHAJI,Indian National Congress,Maharashtra,,0.08 Cr,754522,1,54.15
INDIA,80,Robertsganj,CHHOTELAL,Samajwadi Party,Uttar Pradesh,,0.05 Cr,465848,1,46.14
INDIA,23,Thirupathi(SC),CHINTA MOHAN,Indian National Congress,Andhra Pradesh,,0.01 Cr,65523,1,4.74
INDIA,17,Parbhani,COMRADE RAJAN KSHIRSAGAR,Communist Party of India,Maharashtra,,0.00 Cr,6649,1,0.5
INDIA,23,Bangalore Rural,D K SURESH,Indian National Congress,Karnataka,,0.08 Cr,809355,1,42.16
INDIA,13,Madhepura,DA KUMAR CHANDRADEEP,Rashtriya Janata Dal,Bihar,,0.05 Cr,466115,1,38.53
INDIA,9,SATNA,DABBU SIDDHARTH SUKHLAL KUSHWAHA,Indian National Congress,Madhya Pradesh,,0.04 Cr,374779,1,35.39
INDIA,8,Secunderabad,DANAM NAGENDER,Indian National Congress,Telangana,,0.04 Cr,423068,1,40.38
INDIA,68,Lalganj,DAROGA PRASAD SAROJ,Samajwadi Party,Uttar Pradesh,,0.04 Cr,439959,1,43.85
INDIA,12,Nagarkurnool,DASARI BHARATHI,Viduthalai Chiruthaigal Katchi,Telangana,,0.00 Cr,730,1,0.06
INDIA,2,Amritsar,DASWINDER KAUR,Communist Party of India,Punjab,,0.00 Cr,2481,1,0.27
INDIA,4,CHENNAI CENTRAL,DAYANIDHI MARAN,Dravida Munnetra Kazhagam,Tamil Nadu,,0.04 Cr,413848,1,56.65
INDIA,19,Aska,DEBAKANTA SARMA,Indian National Congress,Odisha,,0.01 Cr,75255,1,7.39
INDIA,30,Tamluk,DEBANGSHU BHATTACHARYA,All India Trinamool Congress,West Bengal,,0.07 Cr,687851,1,43.61
INDIA,3,Barpeta,DEEP BAYAN,Indian National Congress,Assam,,0.06 Cr,637762,1,37.83
INDIA,4,Bijnor,DEEPAK,Samajwadi Party,Uttar Pradesh,,0.04 Cr,366985,1,35.82
INDIA,1,Valmiki Nagar,DEEPAK YADAV,Rashtriya Janata Dal,Bihar,,0.04 Cr,424747,1,38.55
INDIA,7,ROHTAK,DEEPENDER SINGH HOODA,Indian National Congress,Haryana,,0.08 Cr,783578,1,62.76
INDIA,5,BILASPUR,DEVENDRA YADAV,Indian National Congress,Chhattisgarh,,0.06 Cr,560379,1,41.16
INDIA,22,Etah,DEVESH SHAKYA,Samajwadi Party,Uttar Pradesh,,0.05 Cr,475808,1,47.09
